,list-card-link href,list-card-addr,ADDRESS,city,state,Metro,zip,price,sq ft,acreage,pricesqft,list-card-label,list-card-label 2,list-card-variable-text,walkscore,description,LATITUDE,LONGITUDE,list-card-link src,list-card-save-content
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8126 S Hoyne Ave, Chicago, IL 60620"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8126 S Hoyne Ave"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60620""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.745446,""longitude"":-87.677112},""url"":""https://www.zillow.com/homedetails/8126-S-Hoyne-Ave-Chicago-IL-60620/159057385_zpid/""}",https://www.zillow.com/homedetails/8126-S-Hoyne-Ave-Chicago-IL-60620/159057385_zpid/,"8126 S Hoyne Ave, Chicago, IL 60620",8126 S Hoyne Ave,Chicago,IL,Chicago,60620,213000,"78,408",1.80,$2.72,acres lot,Sold,Sold 09/14/2020,41,Car-Dependent,41.745446,-87.677112,https://photos.zillowstatic.com/fp/353d99c4970751d57605720f5654adc4-p_e.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8130 S Hoyne Ave, Chicago, IL 60620"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8130 S Hoyne Ave"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60620""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.745573,""longitude"":-87.676058},""url"":""https://www.zillow.com/homedetails/8130-S-Hoyne-Ave-Chicago-IL-60620/159057382_zpid/""}",https://www.zillow.com/homedetails/8130-S-Hoyne-Ave-Chicago-IL-60620/159057382_zpid/,"8130 S Hoyne Ave, Chicago, IL 60620",8130 S Hoyne Ave,Chicago,IL,Chicago,60620,213000,"87,120",2.00,$2.44,acres lot,Sold,Sold 09/14/2020,41,Car-Dependent,41.745573,-87.676058,https://photos.zillowstatic.com/fp/ebdf36d2c8a9da9e1d52711ecbcbfd3e-p_e.jpg,Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8141 S Hoyne Ave, Chicago, IL 60620"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8141 S Hoyne Ave"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60620""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.745418,""longitude"":-87.676052},""url"":""https://www.zillow.com/homedetails/8141-S-Hoyne-Ave-Chicago-IL-60620/159057383_zpid/""}",https://www.zillow.com/homedetails/8141-S-Hoyne-Ave-Chicago-IL-60620/159057383_zpid/,"8141 S Hoyne Ave, Chicago, IL 60620",8141 S Hoyne Ave,Chicago,IL,Chicago,60620,213000,"16,117",0.37,$13.22,acres lot,Sold,Sold 09/14/2020,41,Car-Dependent,41.745418,-87.676052,"https://maps.googleapis.com/maps/api/staticmap?center=41.745418,-87.676052&zoom=17&size=575x242&maptype=satellite&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=i3J1RWs2ohDel4fIEUKq_hIJ0-k=",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7647 S Damen Ave, Chicago, IL 60620"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7647 S Damen Ave"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60620""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.754335,""longitude"":-87.672906},""url"":""https://www.zillow.com/homedetails/7647-S-Damen-Ave-Chicago-IL-60620/159056408_zpid/""}",https://www.zillow.com/homedetails/7647-S-Damen-Ave-Chicago-IL-60620/159056408_zpid/,"7647 S Damen Ave, Chicago, IL 60620",7647 S Damen Ave,Chicago,IL,Chicago,60620,227000,"3,750",0.09,$60.53,sqft lot,Sold,Sold 08/17/2020,63,Somewhat Walkable,41.754335,-87.672906,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8627 S Carpenter St, Chicago, IL 60620"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8627 S Carpenter St"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60620""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.73697,""longitude"":-87.649373},""url"":""https://www.zillow.com/homedetails/8627-S-Carpenter-St-Chicago-IL-60620/159061614_zpid/""}",https://www.zillow.com/homedetails/8627-S-Carpenter-St-Chicago-IL-60620/159061614_zpid/,"8627 S Carpenter St, Chicago, IL 60620",8627 S Carpenter St,Chicago,IL,Chicago,60620,250000,"3,250",0.07,$76.92,sqft lot,Sold,Sold 07/30/2020,73,Very Walkable,41.73697,-87.649373,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9341 S Ada St, Chicago, IL 60620"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9341 S Ada St"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60620""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.723732,""longitude"":-87.656309},""url"":""https://www.zillow.com/homedetails/9341-S-Ada-St-Chicago-IL-60620/159187609_zpid/""}",https://www.zillow.com/homedetails/9341-S-Ada-St-Chicago-IL-60620/159187609_zpid/,"9341 S Ada St, Chicago, IL 60620",9341 S Ada St,Chicago,IL,Chicago,60620,267059,"2,250",0.05,$118.69,sqft lot,Sold,Sold 07/21/2020,79,Very Walkable,41.723732,-87.656309,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9031 S Carpenter St, Chicago, IL 60620"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9031 S Carpenter St"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60620""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.729648,""longitude"":-87.64917},""url"":""https://www.zillow.com/homedetails/9031-S-Carpenter-St-Chicago-IL-60620/159187094_zpid/""}",https://www.zillow.com/homedetails/9031-S-Carpenter-St-Chicago-IL-60620/159187094_zpid/,"9031 S Carpenter St, Chicago, IL 60620",9031 S Carpenter St,Chicago,IL,Chicago,60620,291500,"3,125",0.07,$93.28,sqft lot,Sold,Sold 10/30/2020,63,Somewhat Walkable,41.729648,-87.64917,"https://maps.googleapis.com/maps/api/streetview?location=41.729648,-87.649170&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=rafHt5vSvHrGWfGAQ0rZRDqPA9E=",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9130 S Loomis St, Chicago, IL 60620"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9130 S Loomis St"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60620""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.727652,""longitude"":-87.658318},""url"":""https://www.zillow.com/homedetails/9130-S-Loomis-St-Chicago-IL-60620/159187218_zpid/""}",https://www.zillow.com/homedetails/9130-S-Loomis-St-Chicago-IL-60620/159187218_zpid/,"9130 S Loomis St, Chicago, IL 60620",9130 S Loomis St,Chicago,IL,Chicago,60620,306500,875,0.02,$350.29,sqft lot,Sold,Sold 11/05/2020,79,Very Walkable,41.727652,-87.658318,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7135 S Morgan St, Chicago, IL 60621"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7135 S Morgan St"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60621""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.764074,""longitude"":-87.648888},""url"":""https://www.zillow.com/homedetails/7135-S-Morgan-St-Chicago-IL-60621/159052485_zpid/""}",https://www.zillow.com/homedetails/7135-S-Morgan-St-Chicago-IL-60621/159052485_zpid/,"7135 S Morgan St, Chicago, IL 60621",7135 S Morgan St,Chicago,IL,Chicago,60621,5000,"4,791",0.11,$1.04,sqft lot,Sold,Sold 10/08/2020,57,Somewhat Walkable,41.764074,-87.648888,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6332 S Eggleston Ave, Chicago, IL 60621"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6332 S Eggleston Ave"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60621""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.778868,""longitude"":-87.636641},""url"":""https://www.zillow.com/homedetails/6332-S-Eggleston-Ave-Chicago-IL-60621/159037136_zpid/""}",https://www.zillow.com/homedetails/6332-S-Eggleston-Ave-Chicago-IL-60621/159037136_zpid/,"6332 S Eggleston Ave, Chicago, IL 60621",6332 S Eggleston Ave,Chicago,IL,Chicago,60621,8000,"3,125",0.07,$2.56,sqft lot,Sold,Sold 10/06/2020,57,Somewhat Walkable,41.778868,-87.636641,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6039 S Normal Blvd, Chicago, IL 60621"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6039 S Normal Blvd"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60621""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.784043,""longitude"":-87.637301},""url"":""https://www.zillow.com/homedetails/6039-S-Normal-Blvd-Chicago-IL-60621/159027039_zpid/""}",https://www.zillow.com/homedetails/6039-S-Normal-Blvd-Chicago-IL-60621/159027039_zpid/,"6039 S Normal Blvd, Chicago, IL 60621",6039 S Normal Blvd,Chicago,IL,Chicago,60621,10000,"4,430",0.10,$2.26,sqft lot,Sold,Sold 11/17/2020,58,Somewhat Walkable,41.784043,-87.637301,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5745 S Perry Ave, Chicago, IL 60621"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5745 S Perry Ave"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60621""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.789623,""longitude"":-87.627379},""url"":""https://www.zillow.com/homedetails/5745-S-Perry-Ave-Chicago-IL-60621/159026772_zpid/""}",https://www.zillow.com/homedetails/5745-S-Perry-Ave-Chicago-IL-60621/159026772_zpid/,"5745 S Perry Ave, Chicago, IL 60621",5745 S Perry Ave,Chicago,IL,Chicago,60621,13000,"2,979",0.07,$4.36,sqft lot,Sold,Sold 10/20/2020,59,Somewhat Walkable,41.789623,-87.627379,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""443 W 69th St, Chicago, IL 60621"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""443 W 69th St"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60621""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.768742,""longitude"":-87.636372},""url"":""https://www.zillow.com/homedetails/443-W-69th-St-Chicago-IL-60621/159037859_zpid/""}",https://www.zillow.com/homedetails/443-W-69th-St-Chicago-IL-60621/159037859_zpid/,"443 W 69th St, Chicago, IL 60621",443 W 69th St,Chicago,IL,Chicago,60621,30000,"12,197",0.28,$2.46,acres lot,Sold,Sold 11/03/2020,53,Somewhat Walkable,41.768742,-87.636372,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6253 S State St, Chicago, IL 60621"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6253 S State St"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60621""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.780272,""longitude"":-87.62493},""url"":""https://www.zillow.com/homedetails/6253-S-State-St-Chicago-IL-60621/159025695_zpid/""}",https://www.zillow.com/homedetails/6253-S-State-St-Chicago-IL-60621/159025695_zpid/,"6253 S State St, Chicago, IL 60621",6253 S State St,Chicago,IL,Chicago,60621,30000,"7,017",0.16,$4.28,sqft lot,Sold,Sold 11/12/2020,41,Car-Dependent,41.780272,-87.62493,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5625 S Princeton Ave, Chicago, IL 60621"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5625 S Princeton Ave"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60621""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.791934,""longitude"":-87.632706},""url"":""https://www.zillow.com/homedetails/5625-S-Princeton-Ave-Chicago-IL-60621/159026451_zpid/""}",https://www.zillow.com/homedetails/5625-S-Princeton-Ave-Chicago-IL-60621/159026451_zpid/,"5625 S Princeton Ave, Chicago, IL 60621",5625 S Princeton Ave,Chicago,IL,Chicago,60621,58000,"3,243",0.07,$17.88,sqft lot,Sold,Sold 01/23/2020,54,Somewhat Walkable,41.791934,-87.632706,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7338 S Perry Ave, Chicago, IL 60621"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7338 S Perry Ave"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60621""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.76059,""longitude"":-87.628488},""url"":""https://www.zillow.com/homedetails/7338-S-Perry-Ave-Chicago-IL-60621/121067053_zpid/""}",https://www.zillow.com/homedetails/7338-S-Perry-Ave-Chicago-IL-60621/121067053_zpid/,"7338 S Perry Ave, Chicago, IL 60621",7338 S Perry Ave,Chicago,IL,Chicago,60621,255000,"3,920",0.09,$65.05,sqft lot,Sold,Sold 01/22/2020,73,Very Walkable,41.76059,-87.628488,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1018 N Rockwell St, Chicago, IL 60622"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""500""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1018 N Rockwell St"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60622""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.899903,""longitude"":-87.692149},""url"":""https://www.zillow.com/homedetails/1018-N-Rockwell-St-Chicago-IL-60622/3793108_zpid/""}",https://www.zillow.com/homedetails/1018-N-Rockwell-St-Chicago-IL-60622/3793108_zpid/,"1018 N Rockwell St, Chicago, IL 60622",1018 N Rockwell St,Chicago,IL,Chicago,60622,140000,"1,742",0.04,$80.37,sqft lot,Sold,Sold 09/02/2020,95,Walker's Paradise,41.899903,-87.692149,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""908 N Richmond St, Chicago, IL 60622"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""908 N Richmond St"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60622""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.898366,""longitude"":-87.700796},""url"":""https://www.zillow.com/homedetails/908-N-Richmond-St-Chicago-IL-60622/158674121_zpid/""}",https://www.zillow.com/homedetails/908-N-Richmond-St-Chicago-IL-60622/158674121_zpid/,"908 N Richmond St, Chicago, IL 60622",908 N Richmond St,Chicago,IL,Chicago,60622,193500,"3,049",0.07,$63.46,sqft lot,Sold,Sold 08/18/2020,89,Very Walkable,41.898366,-87.700796,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1859 W Armitage Ave, Chicago, IL 60622"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1859 W Armitage Ave"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60622""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.917542,""longitude"":-87.675017},""url"":""https://www.zillow.com/homedetails/1859-W-Armitage-Ave-Chicago-IL-60622/101330263_zpid/""}",https://www.zillow.com/homedetails/1859-W-Armitage-Ave-Chicago-IL-60622/101330263_zpid/,"1859 W Armitage Ave, Chicago, IL 60622",1859 W Armitage Ave,Chicago,IL,Chicago,60622,195000,"3,001",0.07,$64.98,sqft lot,Sold,Sold 11/24/2020,91,Walker's Paradise,41.917542,-87.675017,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1711 W Grand Ave, Chicago, IL 60622"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1711 W Grand Ave"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60622""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.890723,""longitude"":-87.670076},""url"":""https://www.zillow.com/homedetails/1711-W-Grand-Ave-Chicago-IL-60622/158778156_zpid/""}",https://www.zillow.com/homedetails/1711-W-Grand-Ave-Chicago-IL-60622/158778156_zpid/,"1711 W Grand Ave, Chicago, IL 60622",1711 W Grand Ave,Chicago,IL,Chicago,60622,205000,"2,278",0.05,$89.99,sqft lot,Sold,Sold 11/03/2020,88,Very Walkable,41.890723,-87.670076,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""847 N California Ave, Chicago, IL 60622"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""847 N California Ave"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60622""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.897139,""longitude"":-87.696385},""url"":""https://www.zillow.com/homedetails/847-N-California-Ave-Chicago-IL-60622/158675030_zpid/""}",https://www.zillow.com/homedetails/847-N-California-Ave-Chicago-IL-60622/158675030_zpid/,"847 N California Ave, Chicago, IL 60622",847 N California Ave,Chicago,IL,Chicago,60622,210000,"6,300",0.14,$33.33,sqft lot,Sold,Sold 03/19/2020,89,Very Walkable,41.897139,-87.696385,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1426 N Talman Ave, Chicago, IL 60622"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1426 N Talman Ave"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60622""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.907405,""longitude"":-87.693607},""url"":""https://www.zillow.com/homedetails/1426-N-Talman-Ave-Chicago-IL-60622/158673211_zpid/""}",https://www.zillow.com/homedetails/1426-N-Talman-Ave-Chicago-IL-60622/158673211_zpid/,"1426 N Talman Ave, Chicago, IL 60622",1426 N Talman Ave,Chicago,IL,Chicago,60622,230000,"3,049",0.07,$75.43,sqft lot,Sold,Sold 03/03/2020,85,Very Walkable,41.907405,-87.693607,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2415 W Cortez St, Chicago, IL 60622"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2415 W Cortez St"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60622""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.900022,""longitude"":-87.687637},""url"":""https://www.zillow.com/homedetails/2415-W-Cortez-St-Chicago-IL-60622/2080514076_zpid/""}",https://www.zillow.com/homedetails/2415-W-Cortez-St-Chicago-IL-60622/2080514076_zpid/,"2415 W Cortez St, Chicago, IL 60622",2415 W Cortez St,Chicago,IL,Chicago,60622,350000,"3,049",0.07,$114.79,sqft lot,Sold,Sold 03/12/2020,95,Walker's Paradise,41.900022,-87.687637,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2444 W Augusta Blvd, Chicago, IL 60622"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2444 W Augusta Blvd"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60622""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.899621,""longitude"":-87.688778},""url"":""https://www.zillow.com/homedetails/2444-W-Augusta-Blvd-Chicago-IL-60622/2077348696_zpid/""}",https://www.zillow.com/homedetails/2444-W-Augusta-Blvd-Chicago-IL-60622/2077348696_zpid/,"2444 W Augusta Blvd, Chicago, IL 60622",2444 W Augusta Blvd,Chicago,IL,Chicago,60622,365000,"3,049",0.07,$119.71,sqft lot,Sold,Sold 10/27/2020,95,Walker's Paradise,41.899621,-87.688778,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""856 N Campbell Ave, Chicago, IL 60622"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,439""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""856 N Campbell Ave"",""addressLocality"":""Chicago"",""addressRegion"":""IL"",""postalCode"":""60622""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":41.897404,""longitude"":-87.689701},""url"":""https://www.zillow.com/homedetails/856-N-Campbell-Ave-Chicago-IL-60622/3793218_zpid/""}",https://www.zillow.com/homedetails/856-N-Campbell-Ave-Chicago-IL-60622/3793218_zpid/,"856 N Campbell Ave, Chicago, IL 60622",856 N Campbell Ave,Chicago,IL,Chicago,60622,465500,"3,049",0.07,$152.67,sqft lot,Sold,Sold 12/04/2020,96,Walker's Paradise,41.897404,-87.689701,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Save this home
